# Trino function catalog — SHOW FUNCTIONS over a live coordinator.
# Regenerate: ./gradlew harvestFunctionCatalog -Ptrino.harvest.url=...  (then commit)
# engine: Trino 483 | harvested: 2026-07-23
# rows: 442 (aggregate=57 scalar=372 table=2 window=11) | distinct names: 441 | raw SHOW FUNCTIONS rows: 900
# format: name<TAB>kind<TAB>return_type ; kind = lowercased "Function Type"; deduped by (name,kind), min return_type; sorted.
day_of_month	scalar	bigint
day_of_week	scalar	bigint
day_of_year	scalar	bigint
degrees	scalar	double
dense_rank	window	bigint
dot_product	scalar	double
dow	scalar	bigint
doy	scalar	bigint
e	scalar	double
element_at	scalar	E
empty_approx_set	scalar	hyperloglog
ends_with	scalar	boolean
euclidean_distance	scalar	double
evaluate_classifier_predictions	aggregate	varchar
every	aggregate	boolean
exclude_columns	table	unknown
exp	scalar	double
features	scalar	map(bigint,double)
filter	scalar	array(T)
first_value	window	T
flatten	scalar	array(E)
floor	scalar	bigint
format_datetime	scalar	varchar
format_number	scalar	varchar
from_base	scalar	bigint
from_base32	scalar	varbinary
from_base64	scalar	varbinary
from_base64url	scalar	varbinary
from_big_endian_32	scalar	integer
from_big_endian_64	scalar	bigint
from_encoded_polyline	scalar	geometry
from_geojson_geometry	scalar	sphericalgeography
from_hex	scalar	varbinary
from_ieee754_32	scalar	real
from_ieee754_64	scalar	double
from_iso8601_date	scalar	date
from_iso8601_timestamp	scalar	timestamp(3) with time zone
from_iso8601_timestamp_nanos	scalar	timestamp(9) with time zone
from_unixtime	scalar	timestamp(3) with time zone
from_unixtime_nanos	scalar	timestamp(9) with time zone
from_utf8	scalar	varchar
geometric_mean	aggregate	double
geometry_collect_agg	aggregate	geometry
geometry_from_hadoop_shape	scalar	geometry
geometry_invalid_reason	scalar	varchar
geometry_nearest_points	scalar	row(geometry,geometry)
geometry_to_bing_tiles	scalar	array(bingtile)
geometry_union	scalar	geometry
geometry_union_agg	aggregate	geometry
great_circle_distance	scalar	double
greatest	scalar	E
hamming_distance	scalar	bigint
hash_counts	scalar	map(bigint,smallint)
histogram	aggregate	map(T,bigint)
hmac_md5	scalar	varbinary
hmac_sha1	scalar	varbinary
hmac_sha256	scalar	varbinary
hmac_sha512	scalar	varbinary
hour	scalar	bigint
human_readable_seconds	scalar	varchar
index	scalar	bigint
infinity	scalar	double
intersection_cardinality	scalar	bigint
inverse_beta_cdf	scalar	double
inverse_normal_cdf	scalar	double
is_finite	scalar	boolean
is_infinite	scalar	boolean
is_json_scalar	scalar	boolean
is_nan	scalar	boolean
jaccard_index	scalar	double
json_array_contains	scalar	boolean
json_array_get	scalar	json
json_array_length	scalar	bigint
json_extract	scalar	json
json_extract_scalar	scalar	varchar
json_format	scalar	varchar
json_parse	scalar	json
json_size	scalar	bigint
kurtosis	aggregate	double
lag	window	T
last_day_of_month	scalar	date
last_value	window	T
lead	window	T
learn_classifier	aggregate	classifier(bigint)
learn_libsvm_classifier	aggregate	classifier(bigint)
learn_libsvm_regressor	aggregate	regressor
learn_regressor	aggregate	regressor
least	scalar	E
length	scalar	bigint
levenshtein_distance	scalar	bigint
line_interpolate_point	scalar	geometry
line_interpolate_points	scalar	array(geometry)
line_locate_point	scalar	double
listagg	aggregate	varchar
ln	scalar	double
log	scalar	double
log10	scalar	double
log2	scalar	double
lower	scalar	char(x)
lpad	scalar	varbinary
ltrim	scalar	varchar(x)
luhn_check	scalar	boolean
make_set_digest	aggregate	setdigest
map	scalar	map(K,V)
map_agg	aggregate	map(K,V)
map_concat	scalar	map(K,V)
map_entries	scalar	array(row(K,V))
map_filter	scalar	map(K,V)
map_from_entries	scalar	map(K,V)
map_keys	scalar	array(K)
map_union	aggregate	map(K,V)
map_values	scalar	array(V)
map_zip_with	scalar	map(K,V3)
max	aggregate	T
max_by	aggregate	V
md5	scalar	varbinary
merge	aggregate	hyperloglog
merge_set_digest	aggregate	setdigest
millisecond	scalar	bigint
min	aggregate	T
min_by	aggregate	V
minute	scalar	bigint
mod	scalar	bigint
month	scalar	bigint
